 DDSCAT --- DDSCAT 7.1.0 [10.03.03]   
 TARGET --- Sphere,  14328 dipoles, 1.000 1.000 1.000=x,y,z lattice spacing   
 GPFAFT --- method of solution 
 GKDLDR --- prescription for polarizabilities
 ELLIPSOID --- shape 
  14328 = NAT0 = number of dipoles
 gold.tab                                                    
   0.000   0.000 = beta_min, beta_max ;  NBETA = 1
   0.000   0.000 = theta_min, theta_max; NTHETA= 1
   0.000   0.000 = phi_min, phi_max   ;   NPHI = 1
 0.5000 = ETASCA (param. controlling # of scatt. dirs used to calculate <cos> etc.
 Results averaged over    1 target orientations
                   and  1 incident polarizations
   aeff       wave       Q_ext     Q_abs      Q_sca     g(1)=<cos>  <cos^2>    Q_bk       Nsca
3.0000E-02 4.5000E-01 1.3341E+00 1.2157E+00 1.1838E-01  1.3530E-02 4.0192E-01 1.3597E-02   248
3.0000E-02 4.5517E-01 1.3270E+00 1.2139E+00 1.1311E-01  1.3304E-02 4.0192E-01 1.3001E-02   248
3.0000E-02 4.6034E-01 1.3238E+00 1.2155E+00 1.0830E-01  1.3073E-02 4.0192E-01 1.2456E-02   248
3.0000E-02 4.6552E-01 1.3246E+00 1.2207E+00 1.0391E-01  1.2840E-02 4.0192E-01 1.1959E-02   248
3.0000E-02 4.7069E-01 1.3334E+00 1.2332E+00 1.0016E-01  1.2580E-02 4.0191E-01 1.1535E-02   248
3.0000E-02 4.7586E-01 1.3519E+00 1.2542E+00 9.7642E-02  1.2170E-02 4.0191E-01 1.1258E-02   248
3.0000E-02 4.8103E-01 1.3811E+00 1.2847E+00 9.6427E-02  1.1623E-02 4.0191E-01 1.1132E-02   248
3.0000E-02 4.8621E-01 1.4296E+00 1.3320E+00 9.7593E-02  1.0822E-02 4.0190E-01 1.1288E-02   248
3.0000E-02 4.9138E-01 1.4927E+00 1.3915E+00 1.0124E-01  9.8033E-03 4.0189E-01 1.1737E-02   248
3.0000E-02 4.9655E-01 1.5693E+00 1.4616E+00 1.0773E-01  8.6026E-03 4.0188E-01 1.2523E-02   248
3.0000E-02 5.0172E-01 1.6587E+00 1.5400E+00 1.1869E-01  7.1142E-03 4.0187E-01 1.3842E-02   248
3.0000E-02 5.0690E-01 1.7362E+00 1.6034E+00 1.3285E-01  5.4905E-03 4.0186E-01 1.5550E-02   248
3.0000E-02 5.1207E-01 1.7784E+00 1.6298E+00 1.4858E-01  3.8227E-03 4.0185E-01 1.7458E-02   248
3.0000E-02 5.1724E-01 1.7552E+00 1.5929E+00 1.6236E-01  2.1784E-03 4.0184E-01 1.9146E-02   248
3.0000E-02 5.2241E-01 1.6589E+00 1.4893E+00 1.6953E-01  6.7765E-04 4.0184E-01 2.0058E-02   248
3.0000E-02 5.2759E-01 1.5110E+00 1.3407E+00 1.7034E-01 -7.3374E-04 4.0183E-01 2.0215E-02   248
3.0000E-02 5.3276E-01 1.3371E+00 1.1722E+00 1.6489E-01 -2.0529E-03 4.0183E-01 1.9623E-02   248
3.0000E-02 5.3793E-01 1.1705E+00 1.0153E+00 1.5524E-01 -3.2375E-03 4.0183E-01 1.8521E-02   248
3.0000E-02 5.4310E-01 1.0208E+00 8.7641E-01 1.4436E-01 -4.3569E-03 4.0183E-01 1.7264E-02   248
3.0000E-02 5.4828E-01 8.9180E-01 7.5853E-01 1.3327E-01 -5.4194E-03 4.0182E-01 1.5973E-02   248
3.0000E-02 5.5345E-01 7.8031E-01 6.5676E-01 1.2356E-01 -6.4361E-03 4.0182E-01 1.4840E-02   248
3.0000E-02 5.5862E-01 6.8422E-01 5.6968E-01 1.1454E-01 -7.4146E-03 4.0182E-01 1.3785E-02   248
3.0000E-02 5.6379E-01 6.0162E-01 4.9537E-01 1.0625E-01 -8.3568E-03 4.0182E-01 1.2812E-02   248
3.0000E-02 5.6897E-01 5.2987E-01 4.3115E-01 9.8719E-02 -9.2719E-03 4.0181E-01 1.1926E-02   248
3.0000E-02 5.7414E-01 4.6803E-01 3.7626E-01 9.1775E-02 -1.0168E-02 4.0181E-01 1.1107E-02   248
3.0000E-02 5.7931E-01 4.1522E-01 3.2983E-01 8.5400E-02 -1.1050E-02 4.0181E-01 1.0355E-02   248
3.0000E-02 5.8448E-01 3.7072E-01 2.9120E-01 7.9519E-02 -1.1930E-02 4.0181E-01 9.6586E-03   248
3.0000E-02 5.8966E-01 3.3321E-01 2.5906E-01 7.4155E-02 -1.2803E-02 4.0180E-01 9.0234E-03   248
3.0000E-02 5.9483E-01 3.0109E-01 2.3179E-01 6.9302E-02 -1.3661E-02 4.0180E-01 8.4475E-03   248
3.0000E-02 6.0000E-01 2.7332E-01 2.0844E-01 6.4878E-02 -1.4495E-02 4.0180E-01 7.9215E-03   248
